,no_6,value_6,no_5,value_5,no_4,value_4,no_3,value_3,winning_tickets,winnings
04-06-2019,0.0,0.0,55.0,180312.0,1812.0,246069.60000000003,34830.0,835920.0,36697.0,1262301.6
01-06-2019,2.0,5521123.4,49.0,317716.0,2689.0,697526.6,50370.0,1208880.0,53110.0,7745246.0
30-05-2019,0.0,0.0,59.0,221073.0,2396.0,312198.80000000005,42261.0,1014264.0,44716.0,1547535.8
28-05-2019,0.0,0.0,24.0,206167.19999999998,1764.0,435355.2,33406.0,801744.0,35194.0,1443266.4
25-05-2019,0.0,0.0,40.0,258888.0,2401.0,539744.8,42240.0,1013760.0,44681.0,1812392.8
23-05-2019,1.0,18504558.2,84.0,422553.6,4701.0,548606.7000000001,82780.0,1986720.0,87566.0,21462438.5
21-05-2019,0.0,0.0,96.0,376022.4,4655.0,435708.0,75866.0,1820784.0,80617.0,2632514.4
18-05-2019,0.0,0.0,63.0,423744.30000000005,3557.0,960745.7000000001,65914.0,1581936.0,69534.0,2966426.0
16-05-2019,0.0,0.0,58.0,340007.6,3073.0,633959.9,58592.0,1406208.0,61723.0,2380175.5
14-05-2019,0.0,0.0,77.0,322052.5,3536.0,460033.6,61358.0,1472592.0,64971.0,2254678.1
